,Id,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Terrace,Garden,State,Facades,Locality_encoded,Type_encoded,SubType_encoded,Prov_encoded,Region_encoded,sqdm_price,Bedrooms_per_area,Locality_mean_Price,Is_On_Coast,GDP,Avg_rent
0,20316087,329000,2,123,1,1,0,1,3,358,1,0,0,0,2674.79674796748,0.016260162601626018,323142.46153846156,0,62123,950.0
1,20316069,180000,3,138,0,1,1,3,2,492,1,0,1,1,1304.3478260869565,0.021739130434782608,243851.83333333334,0,36940,759.0
2,20316048,369000,6,230,0,1,0,5,3,126,1,0,2,0,1604.3478260869565,0.02608695652173913,425100.0,0,51731,1013.0
3,20316039,145000,2,80,1,0,0,1,2,403,1,0,0,0,1812.5,0.025,308913.55102040817,0,62123,950.0
4,20316038,269000,3,155,1,1,1,1,2,403,1,0,0,0,1735.483870967742,0.01935483870967742,308913.55102040817,0,62123,950.0
5,20316037,139000,2,115,1,1,0,1,2,403,1,0,0,0,1208.695652173913,0.017391304347826087,308913.55102040817,0,62123,950.0
6,20315970,140000,2,90,1,1,0,1,3,517,1,0,1,1,1555.5555555555557,0.022222222222222223,148714.2857142857,0,36940,759.0
7,20315960,749000,7,373,1,1,0,3,4,178,1,1,3,0,2008.0428954423592,0.01876675603217158,355193.0,0,98189,1000.0
8,20315930,299000,3,130,1,1,0,2,3,465,1,0,3,0,2300.0,0.023076923076923078,356000.0,0,98189,1000.0
9,20315897,149900,2,60,0,1,1,1,4,123,1,0,0,0,2498.3333333333335,0.03333333333333333,413181.25,0,62123,950.0
10,20315889,219000,3,123,0,1,1,5,2,2,1,0,4,0,1780.4878048780488,0.024390243902439025,331671.0617977528,0,31766,
11,20315886,550000,5,216,0,0,0,1,4,409,1,0,5,0,2546.296296296296,0.023148148148148147,311600.0,0,52323,950.0
12,20315876,300000,3,115,1,1,0,3,3,474,1,0,0,0,2608.695652173913,0.02608695652173913,322613.4,0,62123,950.0
13,20315875,695000,3,195,0,1,0,3,4,566,1,0,2,0,3564.102564102564,0.015384615384615385,426707.31707317074,0,51731,1013.0
14,20315873,239000,2,195,0,0,0,5,2,712,1,0,1,1,1225.6410256410256,0.010256410256410256,239000.0,0,36940,759.0
15,20315872,495000,3,192,1,1,0,2,3,426,1,0,3,0,2578.125,0.015625,346000.0,0,98189,1000.0
16,20315871,319000,3,155,0,1,0,1,0,294,1,0,5,0,2058.064516129032,0.01935483870967742,284388.0,0,52323,950.0
17,20315870,269000,3,141,1,1,0,1,2,465,1,0,3,0,1907.8014184397164,0.02127659574468085,356000.0,0,98189,1000.0
18,20315866,225000,3,100,0,0,0,2,0,2,1,0,4,0,2250.0,0.03,331671.0617977528,0,31766,
19,20315865,795000,8,386,0,0,0,4,0,232,1,0,5,0,2059.585492227979,0.02072538860103627,432041.54929577466,0,52323,950.0
20,20315859,396353,3,123,0,0,0,3,0,527,1,0,0,0,3222.3821138211383,0.024390243902439025,397033.3181818182,0,62123,950.0
21,20315855,540000,3,188,0,1,0,1,3,150,1,0,0,0,2872.340425531915,0.015957446808510637,420769.23076923075,0,62123,950.0
